date,bottle_number,nh4_conc_og_umol,nh4_vol_uL,og_vol_L,FLU1,FLU2,FLU3,notes
Feb 22 2022,E1,200,0,0.04,84.07,85.78,86.54,
Feb 22 2022,E2,200,200,0.04,191.5,192.5,191,197.2
Feb 22 2022,E3,200,400,0.04,299.3,300,299.8,291.5
Feb 22 2022,E4,200,600,0.04,397.9,396.4,396.8,"393.8, 389.2"
Feb 22 2022,E5,200,800,0.04,501.8,500.6,501.2,498.4
Feb 22 2022,E6,200,1000,0.04,595.2,596.8,597.9,"591.6, 577.2, 592.4, 588.9"
Feb 22 2022,E7,200,1200,0.04,697.8,696.8,697.9,"690.9, 703.1"
